tname;tdate;ttext;tgeo
Народный Фронт;2016-07-30 09:03:11;#autofollow Математики СПбГУ разработали уникальную методику исследования текстов на любых языках: В частности, с помо...  #followback RT;None
Саня Классный;2016-07-30 09:02:58;Математики СПбГУ разработали уникальную методику исследования текстов на любых языках https://t.co/vELOdMOT9Y;None
Azamat Gallyamov;2016-07-30 08:22:24;RT @Dissernet: Киуру Константин Валерьевич, доктор филологических наук из СПбГУ @spb_university  https://t.co/4dMcMGYABM https://t.co/Sk3Kl…;None
Хотлблэк;2016-07-30 08:19:17;@MariKilkenni @twidade_lucks а потом иди в тот же самый СПБГУ,плати бешеные деньги,и учись вместе с теми,кому эта учёба нигде не упала;None
ЖЕЛЕЗНЫЙ СЕРГЕЮШКА;2016-07-30 08:15:30;@7auroraborealis а бля. В СПбГУ нужна литра(;None
ЖЕЛЕЗНЫЙ СЕРГЕЮШКА;2016-07-30 08:12:27;@7auroraborealis у нас в гуапе есть но там вроде только платка. И в спбгу есть математическая прикладная и экспериментальная лингвистика;None
Mari Kilkenni;2016-07-30 08:06:28;@salazarpond @twidade_lucks два года выслушивала нытье преподавателей с журфака СПбГУ о том, что уже ко второму курсу остается два-три;None
Ольга Мирчу;2016-07-30 07:30:28;RT @Dissernet: Киуру Константин Валерьевич, доктор филологических наук из СПбГУ @spb_university  https://t.co/4dMcMGYABM https://t.co/Sk3Kl…;None
Protest SPb;2016-07-30 07:24:53;RT @Dissernet: Киуру Константин Валерьевич, доктор филологических наук из СПбГУ @spb_university  https://t.co/4dMcMGYABM https://t.co/Sk3Kl…;None
Gotfrid;2016-07-30 07:07:13;RT @Dissernet: Киуру Константин Валерьевич, доктор филологических наук из СПбГУ @spb_university  https://t.co/4dMcMGYABM https://t.co/Sk3Kl…;None
Тата  Зима;2016-07-30 06:52:17;RT @Dissernet: Киуру Константин Валерьевич, доктор филологических наук из СПбГУ @spb_university  https://t.co/4dMcMGYABM https://t.co/Sk3Kl…;None
Stasyaツ;2016-07-30 06:39:53;RT @Dissernet: Киуру Константин Валерьевич, доктор филологических наук из СПбГУ @spb_university  https://t.co/4dMcMGYABM https://t.co/Sk3Kl…;None
Привет, Бел;2016-07-30 05:59:21;1-о числа закончится первая волна в СпбГУ, а 3-го - в ЛГУ, так что я возможно даже успею сориентироваться и сбежать в первую волну ЛГУ;None
Привет, Бел;2016-07-30 05:58:30;пока со списками всё хорошо, на вечерку в СпбГУ очень вероятно попадаю во вторую волну, а в ЛГУ могу даже в первую попасть, но не пойду;None
Oleg Bovi;2016-07-30 05:47:11;RT @Dissernet: Киуру Константин Валерьевич, доктор филологических наук из СПбГУ @spb_university  https://t.co/4dMcMGYABM https://t.co/Sk3Kl…;None
Сергей Кондратьев;2016-07-30 05:10:04;RT @Dissernet: Киуру Константин Валерьевич, доктор филологических наук из СПбГУ @spb_university  https://t.co/4dMcMGYABM https://t.co/Sk3Kl…;None
Александр Литвиненко;2016-07-30 05:02:29;RT @Dissernet: Киуру Константин Валерьевич, доктор филологических наук из СПбГУ @spb_university  https://t.co/4dMcMGYABM https://t.co/Sk3Kl…;None
Диссернет;2016-07-30 05:00:53;Киуру Константин Валерьевич, доктор филологических наук из СПбГУ @spb_university  https://t.co/4dMcMGYABM https://t.co/Sk3KlOVr78;None
Денис Воронков;2016-07-30 03:28:05;https://t.co/ZjWIpGnXIX #цепочкатвитерских количество поданных заявлений спбгу;None
DM;2016-07-30 00:36:58;@KBarieva В СПбГУ чтоль, если в Спб?;None
Гоша;2016-07-29 23:46:00;В мфти норм все, терпимо, в спбгу просто божественно, лэти-сосет в плане общаг как грязная объебанная шлюха на парковке;None
wannarexic;2016-07-29 19:58:28;в спбгу такое херовое покрытие на полу, что я боюсь ходить там на шпильках - проломлю нахер всё каблуками;None
Фрик-убийца;2016-07-29 18:59:27;Еще хотел сказать, что поступил в СПбГУ;None
ЖЕЛЕЗНЫЙ СЕРГЕЮШКА;2016-07-29 18:59:22;@thfrfthdrk в СПбГУ в том году первые в списках были 304, 300, 297, 294 и тому подобное ));None
странге.;2016-07-29 18:58:17;Студент СПбГУ achievement ✔ https://t.co/03dR21FpF6;None
PenguinDins;2016-07-29 18:22:36;Вот ходит кто-то весь год по впискам, а ты зубришь, как Гермиона.  И вот они на бюджете в СПбГУ, а ты иди-ка нах*й;None
тонкс;2016-07-29 18:11:48;@twhiiddleston нет, хотела в спбгу, но экзамены накладывались. я разговаривала со студентами там и они мне сказали, мол, я пройду, но вот хз;None
кила се'лай;2016-07-29 17:57:26;но короче такая тема 9 человек из тех что выше меня в списке отдали оригинал в спбгу;None
wannarexic;2016-07-29 17:43:19;В спбгу появились списки, и я там выделена очень красивым зеленым цветом, то бишь, на лингвистику по бюджету прохожу;None
кила се'лай;2016-07-29 17:38:10;я тут такие списки потенциальных соперников на бюджет пилю, сравниваю со списками в спбгу, отмечаю кто принес туда оригинал;None
НБ@СПбГУ;2016-07-29 16:41:29;СПбГУ — среди 100 самых активно развивающихся научно-исследовательских организаций мира, по версии Nature https://t.co/s9lZ3BOHIW;None
радуга из мзк;2016-07-29 16:15:46;тебе будут целовать ноги, если ты станешь студентом СПБГУ. так что делай правильный выбор, друг;None
моргай;2016-07-29 15:39:07;@MadeInChinaOo я уже успела подумать, что это в СПбГУ выложили :D;None
СПбГУ;2016-07-29 15:25:28;СПбГУ - единственный вуз России, вошедший в топ–100 "восходящих звезд" мировой науки: https://t.co/I9QtZj8ubz https://t.co/m2EXLG8BNQ;None
Elena Getalo;2016-07-29 15:23:19;Правда, в Top 100 institutions – единственный российский вуз, СПбГУ, 91 позиция https://t.co/YfHujTAskg #Nature Index 2016 Rising Stars;None
моргай;2016-07-29 15:06:16;@Rory_Weasley в СПбГУ хорошие, особенно если не засраны предыдущими жильцами.;None
so far;2016-07-29 14:52:36;@blurry__face__ куда поступила? СПбГУ?;None
Egor Ezhov;2016-07-29 14:15:55;@chukonick2 шавермафак СПбГУ?;None
моргай;2016-07-29 14:04:56;@polyubomunelzya даже очень хорошие. Но жаль не попробовать общажной жизни, тем более, что в СПбГУ общаги хорошие.;None
prosto prelest';2016-07-29 13:15:02;УРААААА Я ПОСТУПИЛААА СПБГУ БЮДЖЕЕЕТ Куда и хотела, по первому приоритету😍😍😍😍😍😍😍😍😍😍😍😍😍;None
foreveruslan;2016-07-29 13:12:42;когда зашел посмотреть баллы  поступающих в СПбГУ: https://t.co/QPt3yk97Uv;None
Vladislav;2016-07-29 13:07:49;ИТАК, ГОСПОДА, ПРОДАМ ДВА БЮДЖЕТНЫХ МЕСТА В СПБГУ. СОЦИАЛЬНАЯ РАБОТА, РЕКЛАМА И СВЯЗИ С ОБЩЕСТВЕННОСТЬЮ - ОБА НА ДНЕВНОЕ.;None
Vladislav;2016-07-29 12:48:13;Прошел на все факультеты, на которые закидывал доки в СПБГУ. Теперь мне нужно собственной рукой подписать отказ, а я не могу;None
spb1724;2016-07-29 12:44:02;В #СПбГУ продолжается прием документов на программы магистратуры. /  / К 2016/17 учебному году наш Университет ув.. https://t.co/uLkhDBLAbO;None
моргай;2016-07-29 11:50:10;@Heaven_Time да, СПбГУ;None
Алена Тутова;2016-07-29 11:47:51;Я тут думаю уже в СПБГУ на жур.фак поступать .... #безысходность;None
Aniretake;2016-07-29 11:40:57;Корда двадцатая в кубике и двухсотая в СПБГУ https://t.co/nIPdTQAVvH;None
харре. ♡  дейзи;2016-07-29 08:49:40;@__DragMeDown__ о вау Надо бы Надо бы посмотреть Есть ли в СПБГУ колледж у менеджменту;None
Mr. Orange;2016-07-29 08:47:36;Уйти с бюджета СПбГУ, отказаться от целевого в Первый мед,  чтобы пойти в ветеринарку.  У-успех.;None
Anita Rosenberg;2016-07-29 07:08:08;Дворец Бобринских, ныне факультет свободных искусств и наук СПбГУ. Солнечное место. https://t.co/kLD5zSYb7t;None
кися;2016-07-29 06:42:16;Приснилось,как поступила в СПбГУ....с четверга на пятницу🤔🤔🤔🤓🤓🤓🤓🤓;None
Даша Бухтаева;2016-07-29 05:52:32;RT @spb_university: Доцент #СПбГУ Владислав Архипов комментирует юридические аспекты нашумевшей игры Pokemon Go: https://t.co/9vzGfiUW2H ht…;None
Ксения;2016-07-29 05:41:04;RT @spb_university: Известны самые востребованные образовательные программы среди абитуриентов СПбГУ этого года: https://t.co/z9FZdpoTAb ht…;None
СПбГУ;2016-07-29 05:02:08;Известны самые востребованные образовательные программы среди абитуриентов СПбГУ этого года: https://t.co/z9FZdpoTAb https://t.co/QlxjoDuFvX;None
моргай;2016-07-28 21:24:03;Только что узнала про ВШМ СПбГУ. Мда, надо было таки математику ботать.;None
питерский олдфаг.;2016-07-28 20:09:29;@kathefinessssss обязательно 💜💙 Всего два года, няш. А потом СПБГУ);None
Привет, Бел;2016-07-28 17:56:24;В ЛГУ оч хороший шанс, но блииин в СпбГУ так хочется Хочу доказать себе и всем Не знаю что, но хочу доказать;None
Ptichka_Pevchaya;2016-07-28 17:40:24;Катись к ебеням,поступление сраное!😤 или как объяснить маме,что я не хочу учиться на юридическом даже в СПбГУ 😩;None
сенека;2016-07-28 17:19:51;- куда прошла? - никуда - ясно. а спбгу? - никуда! - а академия при президенте? - ниКУДА!!!1111 - понятно - ... - точно?  оруу;None
кила се'лай;2016-07-28 16:29:44;@WinDean67 в СПбГУ также, но я забила на него, слишком большой конкурс. Куда поступаешь?;None
belochka;2016-07-28 15:20:12;смотрю список людей, подавших заявление на арт-критику в спбгу. одни бабы. если поступлю, опять буду учиться в бабском коллективе.;None
_;2016-07-28 14:59:50;Студентка спбгу ) https://t.co/t5zMlHON6a;None
Marie.;2016-07-28 14:48:02;@_oxyhemoglobin неплохо наверное хд По-моему, в СПбГУ нереально на бюджет попасть 👌;None
gradstudyabroad.ru;2016-07-28 14:47:32;Вакансии в международный отдел факультета международных отношений СпбГУ: /  / Заместитель руководителя департамен.. https://t.co/0O5JOSugOx;None
ну такое;2016-07-28 13:23:07;еще обидно, что мгу такой уебанский вуз в плане отношения к абитуриентам, а спбгу котя и сайт удобный, но у них даже нет кафедры теорфизики(;None
Галидов Орест;2016-07-28 13:19:12;Может, кто учится в СПбГУ на географическом факультете, трудно поступить?;None
ну такое;2016-07-28 13:17:56;игнорирую звонки из СпбГУ,потому что стесняюсь сказать им, что не принесу подлинники.  жить одной и контактировать с людьми уже через месяц.;None
spb1724;2016-07-28 12:42:02;В #СПбГУ подвели предварительные итоги приёма 2016 года. /  / Интерес абитуриентов к нашему Университету снова вы.. https://t.co/mWrXfgIYTH;None
артгангстер;2016-07-28 12:14:15;интересно, очень я буду нужна на истфаке спбгу с дипломом искусствоведа и исследовательской по культурологии?;None
Тамара Кудрина;2016-07-28 11:53:33;RT @Aleksei_Kudrin: Сегодня переизбрали деканом факультета свободных искусств и наук СПбГУ на новый срок;None
Demetrius;2016-07-28 11:36:54;@OlgaNikkey Спбгу?;None
мacша;2016-07-28 11:17:06;RT @5uglov_spb: Минимальный порог зачисления в МГУ оказался ниже, чем в СПбГУ → https://t.co/6lT6PhmW7e #МОЛНИЯ https://t.co/VSLH4xzPxu;None
Iakov Kirilenko;2016-07-28 11:02:23;RT @spb_university: Самым популярным направлением подготовки в аспирантуре СПбГУ 2016 стало «Информатика и вычислительная техника»: https:/…;None
Костик | chat noir;2016-07-28 11:00:22;RT @5uglov_spb: Минимальный порог зачисления в МГУ оказался ниже, чем в СПбГУ → https://t.co/6lT6PhmW7e #МОЛНИЯ https://t.co/VSLH4xzPxu;None
ABSOLUT TV;2016-07-28 10:52:58;В СПбГУ поступает много победителей и призеров Российских олимпиад школьников https://t.co/cIc5ks2aLj;None
Alexey;2016-07-28 10:50:58;RT @5uglov_spb: Минимальный порог зачисления в МГУ оказался ниже, чем в СПбГУ → https://t.co/6lT6PhmW7e #МОЛНИЯ https://t.co/VSLH4xzPxu;None
Духовная скрепонька;2016-07-28 10:28:59;RT @5uglov_spb: Минимальный порог зачисления в МГУ оказался ниже, чем в СПбГУ → https://t.co/6lT6PhmW7e #МОЛНИЯ https://t.co/VSLH4xzPxu;None
Пять Углов;2016-07-28 10:27:20;Минимальный порог зачисления в МГУ оказался ниже, чем в СПбГУ → https://t.co/6lT6PhmW7e #МОЛНИЯ https://t.co/VSLH4xzPxu;None
СПбГУ;2016-07-28 10:18:55;Самым популярным направлением подготовки в аспирантуре СПбГУ 2016 стало «Информатика и вычислительная техника»: https://t.co/WaqvAOdAj5;None
nezalezhniy;2016-07-28 09:43:28;@leshka_echelon я передумал уж 5 раз. Прохожу в СПбГУ вроде;None
Катейка;2016-07-28 09:15:49;Тебе звонят из СПбГУ и РАНХиГС. Бюджет, экономика, говорят. А ты дура🙉 https://t.co/g6luxAVlIy;None
Привет, Бел;2016-07-28 09:08:17;если я правильно понимаю эту систему, то в ЛГУ передо мной пока только два оригинала 0_о то ест, если я плюну на спбгу, то мб поступлю;None
liza;2016-07-28 08:50:13;@frolishe_ ну вот сердце как раз и зовет в спбгу 😄;None
Адольф Барлабанов;2016-07-28 07:08:02;Есть люди которые учатся в СПБГУ Кино и Телевидения?;None
лишняя. | жопа;2016-07-28 05:35:07;Если я поступлю в сфу на бюджет и перееду в Красноярск, я взорвусь от счастья А если в МГУ или СПбГУ то взорвусь от счастья в сотой степени;None
Диана Герасимова;2016-07-28 05:30:41;Маркетинг. Кейсы из коллекции ВШМ СПбГУ https://t.co/kSKei1sYnb https://t.co/PEcQ44NBrz;None
Юлик;2016-07-27 22:44:08;зато днище в спбгэу даже хуже, чем в спбгу намного хуже;None
Привет, Бел;2016-07-27 22:41:51;Так, в СпбГУ я 132 на журфак, 30 бюджетных, и 90 на международную, 10 бюджетных;None
Iryna Vozmitel;2016-07-27 22:19:53;RT @spb_university: Доцент #СПбГУ Владислав Архипов комментирует юридические аспекты нашумевшей игры Pokemon Go: https://t.co/9vzGfiUW2H ht…;None
Lesya;2016-07-27 21:53:09;00:37 - МГИМО, МГЛУ, СПбГУ... 🤔🤕 я слишком запуталась 😭 ближайшее время эти аббревиатуры будут причиной всех головных болей;None
Angie G;2016-07-27 21:48:34;RT @spb_university: Доцент #СПбГУ Владислав Архипов комментирует юридические аспекты нашумевшей игры Pokemon Go: https://t.co/9vzGfiUW2H ht…;None
katka rudenkobra;2016-07-27 20:51:27;Кампус СПбГУ в деревне под Гатчиной - это штука посильнее слияния четырех приморских вузов и их переезд на необжитой остров.;None
Strukalev Aleksey;2016-07-27 20:19:41;RT @TheodorGlagolev: Преподаватель СПбГУ объясняет, почему нефть столько стоит и от чего это зависит https://t.co/m29pPS8Yy9 https://t.co/8…;None
anka_bechina;2016-07-27 20:06:32;Прекрасные моменты выходного☀️ @ Студгородок СПбГУ - ПУНК https://t.co/PL1Ojb0Wex;59.87446546,29.82888376
Бocтвeнник? 3;2016-07-27 19:56:45;Два ебаных балла испортили мне предполагаемую учебу в спбгу, даже на следующий год пытаться на журфак не хочу;None
wannarexic;2016-07-27 19:33:38;Кажется, завтра еду славаться в рабство СПбГУ, потому что на переводческий бюджет конкурс дикий;None
Il Prete;2016-07-27 19:15:02;Софийка травит душу, что поступила в СПбГУ, а я пьный, мне похуй (нет).;None
Настя;2016-07-27 19:05:09;@zerosixpolly такая же фигня с юриспруденцией и СПбГУ;None
нарядная пони;2016-07-27 19:01:56;отдала бы много денег в фонд борьбы со сравнением питерской вышки и вшм спбгу;None
СПбГУ;2016-07-27 19:01:21;Доцент #СПбГУ Владислав Архипов комментирует юридические аспекты нашумевшей игры Pokemon Go: https://t.co/9vzGfiUW2H https://t.co/TfjJVQL9YX;None
милуоки;2016-07-27 18:32:52;когда-нибудь меня эта ситуация с учебой выведет из себя, я сдам егэ по сотке и поступлю в спбгу..........................;None
КЕКС НАЙЛЕРА'6 YEARS;2016-07-27 18:23:47;RT @barbariska_21: @_Niallgirls__ смотри обязательно Ещё есть СПбГУ  Там побольше различных специальностей И интересные плюсом;None
Б а р б а р и с к а;2016-07-27 18:22:43;@_Niallgirls__ смотри обязательно Ещё есть СПбГУ  Там побольше различных специальностей И интересные плюсом;None
patrichek;2016-07-27 18:19:49;@hugsfromcats ты в политех или спбгу?;None
Натаниель;2016-07-27 17:12:48;@MarinaSaraeva СПбГУ;None
Андрей Войкин;2016-07-27 16:41:15;Кто -нибудь учился в СПбГУ? На каком факультете?;None
сенека;2016-07-27 16:35:40;а из СПБГУ выпустился сам ПУТИН это же охуеть тоже гарант успеха;None
сенека;2016-07-27 16:30:58;аттэншн! выяснилась причина, по которой отец симпатизирует РАНХИГСу и СПБГУ;None
Спокойствие и мир;2016-07-27 16:20:48;RT @TheodorGlagolev: Преподаватель СПбГУ объясняет, почему нефть столько стоит и от чего это зависит https://t.co/m29pPS8Yy9 https://t.co/8…;None
Ярослав Казарук;2016-07-27 16:04:01;сколько составляет стипендия старост в СПбГУ?;None
Cpt. Drunk Sea;2016-07-27 15:57:12;RT @TheodorGlagolev: Преподаватель СПбГУ объясняет, почему нефть столько стоит и от чего это зависит https://t.co/m29pPS8Yy9 https://t.co/8…;None
wannarexic;2016-07-27 15:49:00;@ella_lolua ало, это спбгу;None
мой личный мумбаи;2016-07-27 15:35:49;Подал документы в СПбГУ. Внезапно.;None
питерский нойер;2016-07-27 15:24:02;@matsurbation_ я только что глянула стоимость за год в спбгу... лучше 4 года в политехе платить, чем 2 в спбгу))0;None
ZsaZsa #GER;2016-07-27 15:23:25;@marpetya просто у нас до 3 курса даже заявления на перевод не принимают, например. Но может в СПбГУ другая система с переводом;None
питерский нойер;2016-07-27 15:21:57;@ChipmunkLily тогда в спбгу, получается...;None
prosto prelest';2016-07-27 15:19:01;Открываю списки КубГУ: "я бог" Открываю списки СПбГУ:"нууу 40я позиция - это не так уж плохо";None
питерский нойер;2016-07-27 15:18:43;@matsurbation_ кажись я всё-таки в спбгу...;None
Баранько Михаил;2016-07-27 15:18:15;Скажите кто-нибудь: как поступить в СПбГУ на бюджетку?;None
рыбки Панарина;2016-07-27 15:16:49;@marpetya я училась в СПбГУ-вроде норм точно знаю,что в нашем универе есть фишка,что можно на бюджет перевестись,если учиться хорошо будешь;None
wannarexic;2016-07-27 15:16:47;@SaviorMars тут слишком тупо это делать, потому что дофига людей с высоким баллом уйдут в СПбГУ;None
wannarexic;2016-07-27 15:14:43;@SaviorMars да нормально, меня вообще герценовские списки подбешивают, СПбГУ сразу такие списки вывешивал;None
питерский нойер;2016-07-27 15:12:55;@ChipmunkLily в спбгу международные отношения я вроде понимаю, что спбгу престижнее и тд... но хз :С;None
питерский нойер;2016-07-27 15:10:11;@ChipmunkLily вот скажи че мне делать я прошла на контракт и в спбгу, и в политех куда? :с;None
Elena;2016-07-27 15:00:27;Пожалуй, больше всего в приёмной комиссии СПбГУ меня удивила фраза: "... и фотографии. Можете селфи сделать".;None
wannarexic;2016-07-27 14:50:42;Заржала еще громче, когда поняла, что семестр в СПбГУ стоит столько же, сколько у меня баллов за ЕГЭ в сумме;None
питерский нойер;2016-07-27 14:48:50;@ChipmunkLily кстати Лиль Ты же в спбгу училась?;None
Михаил Сиромолот;2016-07-27 14:39:12;Хочу пойти с СПБГУ на второе высшее на журфак, потом легче будет устроиться работать на радио или телевиденье?;None
Курских Иосиф;2016-07-27 14:03:22;Кто в СПбГУ?;None
Лена Малёна;2016-07-27 13:36:43;Жаль, что в СПбГУ картина не такая https://t.co/9B2scyq7oC;None
СПбГУ;2016-07-27 12:43:49;Свободны мы или нет? На тему свободы воли рассуждает философ, профессор #СПбГУ Данил Разеев: https://t.co/5n7nqRLxeO https://t.co/JjjvDsDtxq;None
Nicole;2016-07-27 12:14:43;Еду в матизе в футболке 'выпускник спбгу'. Выводы делайте сами пож;None
Никита Бутляев;2016-07-27 12:14:17;Помогите пожалуйста.. расскажите о ПСИХ. ФАКЕ. СПбГУ!;None
DS;2016-07-27 11:25:51;Современно. Искусно. Криво.  Мэйд ин СПбГУ.  У этого даже есть название.   #спбгу… https://t.co/ayx0SHIvKZ;59.93962598,30.29975907
AVRELY;2016-07-27 11:20:00;RT @TheodorGlagolev: Преподаватель СПбГУ объясняет, почему нефть столько стоит и от чего это зависит https://t.co/m29pPS8Yy9 https://t.co/8…;None
Привет, Бел;2016-07-27 11:18:24;как дождаться СпбГУ блин &gt_&lt;None
Батенька.ру;2016-07-27 11:14:59;Преподаватель СПбГУ объясняет, почему нефть столько стоит и от чего это зависит https://t.co/m29pPS8Yy9 https://t.co/8fBeqd4wIa;None
Sёma Piter;2016-07-27 10:24:29;@NatelkaRu в спбгэу по взяткам все гоняют. Причём даже не прикрываются никак. В спбгу тоже есть похожие проблемы, но более открыто;None
Алла Порецки;2016-07-27 09:02:21;RT @spb_university: Изверги или святые? Доцент СПбГУ о том, за что 190 лет назад казнили декабристов. https://t.co/rxPrWTpJS4 https://t.co/…;None
Lilia Suleimanova;2016-07-27 09:01:38;RT @spb_university: Профессор #СПбГУ Виктор Хейфец: в Бразилии мало мусульман, но проблемы есть. https://t.co/a0N49H5I53 https://t.co/7MPVb…;None
СПбГУ;2016-07-27 08:41:45;Как будут обучать математике в #СПбГУ в новом учебном году? https://t.co/Px1jfxPUH7;None
Оськова Татьяна;2016-07-27 07:12:31;RT @stalist19911: СПбГУ в Гатчину, зачем? https://t.co/1HQUtNmZJF;None
spb1724;2016-07-27 06:25:13;Дневник летней геологической практики /  / 5.06.16 / Московскую шаверму студенты СПбГУ оценили как немного стран.. https://t.co/8f9SAkYe1j;None
spb1724;2016-07-27 06:25:13;Дневник летней геологической практики /  / 5.06.16 / Московскую шаверму студенты СПбГУ оценили как немного стран.. https://t.co/8f9SAkGD9L;None
ИА Мангазея;2016-07-27 03:54:24;Сможет ли солнечная энергия заменить человечеству нефть и газ, расскажут ученые в СПбГУ. https://t.co/xCwoSTiyeF;None
питерский нойер;2016-07-27 01:15:45;Почему выбирая между спбгу и политехом я склоняюсь к политеху?????????;None
Петр Орлов;2016-07-26 22:14:05;https://t.co/FIvRaAiRf6 спбгу бланк заявления для поступления на бакалавриат;None
Волк Олегов;2016-07-26 21:59:51;Люди во всякие МГУ СПБГУ поступают. И я. Надеюсь хотя бы на коммерцию втиснуться. Хоть в какой-нибудь вуз. Ха. Ха ха ха. Ахахахаха. *плачет*;None
Бибикин Артем;2016-07-26 21:34:39;какие жизненные приоритеты должны быть у студента СПбГУ?;None
Ник Лебовски;2016-07-26 21:22:20;Обожаю пабы Санкт-Петербурга. Только здесь за одной барной стойкой может сидеть и бомж и ректор СПбГУ. #СанктПетербург;None
Ilya Shkuratov;2016-07-26 21:19:36;Песочная кошечка-упорошечка.  #prisma #cat #animal @ Студгородок СПбГУ - ПУНК https://t.co/UMg821dMZ8;None
Владимир Бордют;2016-07-26 20:57:32;какие жизненные приоритеты должны быть у студента СПбГУ?;None
Trenzalore_Tale;2016-07-26 20:01:15;Слушать лекции по литературе от преподавательницы СПбГУ гораздо интереснее, чем буктьюберов. *О*;None
Бацекало Трофим;2016-07-26 19:20:28;Стоит ли поступать в СПбГУ ИТМО?;None
Черепахин Осип;2016-07-26 19:17:03;Есть люди которые учатся в СПБГУ Кино и Телевидения?;None
Костя;2016-07-26 17:38:35;@boris84889083 @buldakova_n конечно нет,  спбгу хуле;None
Лолита;2016-07-26 17:18:30;@MariaSkalaban ФинЭк же очень скатилась буквально за последние несколько лет. Хотя не знаю, возможно, можно сказать то же про СПбГУ;None
Давид Белоконев;2016-07-26 17:18:09;Кто в СПбГУ?;None
питерский нойер;2016-07-26 17:10:18;мне звонили из спбгу, сказали тащить оригиналы на контракт https://t.co/3RJ8sufnoT;None
Neftegaz.RU;2016-07-26 16:58:41;Сможет ли солнечная энергия заменить человечеству нефть и газ, расскажут ученые в СПбГУ: ... https://t.co/Uemm0WgrCZ #нефть #газ;None
Бригас Мариан;2016-07-26 16:23:43;Народ,подскажите,сколько стоит обучение на втором высшем,в СПБГУ на факультете международной журналистики?;None
Балтик-Комфорт;2016-07-26 16:16:41;Росимущество не будет против передачи помещений СПбГУ епархии #СПб #строительство https://t.co/PR4QLILJMg;None
Лоула ʕ╭ರᴥ•́ʔ;2016-07-26 15:58:52;@unicoden бфу и спбгу как небо и земля))));None
絶望;2016-07-26 15:46:29;@loulachkaa за спбгу обидно, мама хотела, чтобы я училась там, а в рейтинге я 350 (на 45 мест);None
Ваня Олигарх;2016-07-26 15:46:12;Сможет ли солнечная энергия заменить человечеству нефть и газ, расскажут ученые в СПбГУ: XXI Международная ко... https://t.co/vzcyHYWpfN;None
Нефть&Валюта;2016-07-26 15:45:09;Сможет ли солнечная энергия заменить человечеству нефть и газ, расскажут ученые в СПбГУ https://t.co/bPdegRxfX9;None
Darja;2016-07-26 15:40:32;@exstaz_7 в СПбГУ на юрфак;None
питерский нойер;2016-07-26 15:39:57;@volgytova я не прошла на бюджет в спбгу;None
питерский нойер;2016-07-26 15:38:51;@volgytova спбгу и политех, всё;None
Галенок Борис;2016-07-26 15:36:45;Трудо ли поступить в СПБГУ на факультет Менеджмента?;None
питерский нойер;2016-07-26 15:29:02;@yaaana_kw спбгу;None
СПбГУ;2016-07-26 15:20:47;Изверги или святые? Доцент СПбГУ о том, за что 190 лет назад казнили декабристов. https://t.co/rxPrWTpJS4 https://t.co/nr7wYHTiUT;None
Darja;2016-07-26 14:57:37;@PrudchenkoO в СПбГУ;None
Tim Kavsarov;2016-07-26 14:39:57;@KeForY да, в СПБГУ прошёл на коммерцию;None
spb1724;2016-07-26 14:35:27;Бизнес-омбудсмен поблагодарил экспертов #СПбГУ за исследование предпринимательского климата Петербурга. /  / Науч.. https://t.co/TPlLYIHTKn;None
Tiza;2016-07-26 14:03:56;RT @Kaurus7: Росимущество готово передать помещения факультетов СПбГУ епархии;None
Boris Gorbachev;2016-07-26 13:57:05;Росимущество готово передать помещения факультетов СПбГУ епархии https://t.co/BCFrPPZqkh с помощью @Fontanka_spb;None
Dasha Saveleva;2016-07-26 13:45:01;RT @fontanka_news: Росимущество готово передать помещения факультетов СПбГУ епархии https://t.co/PLVtLNA9Z6;None
Boris Fogel;2016-07-26 13:44:43;Росимущество готово передать помещения факультетов СПбГУ епархии;None
31more;2016-07-26 13:41:12;@crazy_catharsis СПбГУ);None
Фонтанка. Новости;2016-07-26 13:40:37;Росимущество готово передать помещения факультетов СПбГУ епархии https://t.co/PLVtLNA9Z6;None
принцесса галя;2016-07-26 13:32:24;прикиньте на лингвистику в спбгу 1000+ заявлений;None
purp;2016-07-26 13:32:14;Оригинал дошел до СПбГУ и цитирую: "Ну все, вас можно поздравить с поступлением";None
spb1724;2016-07-26 13:31:16;До старта Летних Олимпийских игр-2016 в Рио-де-Жанейро остается чуть больше недели.  /  / Профессор СПбГУ Виктор .. https://t.co/sKCI5ONaCK;None
СПбГУ;2016-07-26 12:52:03;Профессор #СПбГУ Виктор Хейфец: в Бразилии мало мусульман, но проблемы есть. https://t.co/a0N49H5I53 https://t.co/7MPVbDovCK;None
Понкратов Гарри;2016-07-26 12:44:37;Возможно ли поступить на факультет журналиста в СПбГУ;None
химе_ка;2016-07-26 12:37:59;о в спбгу есть факультет искусств;None
wannarexic;2016-07-26 11:11:05;Через реку от филфака СПбГУ :D https://t.co/9bFvuh56RJ;None
Георгий Мокрик;2016-07-26 10:55:27;Народ,подскажите,сколько стоит обучение на втором высшем,в СПБГУ на факультете международной журналистики?;None
STRF;2016-07-26 10:16:58;Сможет ли солнечная энергия заменить нефть и газ, расскажут учёные СПбГУ:  https://t.co/Q9YyWHpN8Y;None
l200kievua;2016-07-26 10:10:02;Сможет ли солнечная энергия заменить нефть и газ, расскажут учёные СПбГУ   https://t.co/0ga78wEQqR;None
Мирослав.;2016-07-26 10:04:35;Блять, как же, сука, обидно, когда в СПбГУ зачисляют на бюджет девку со 192-мя баллами только из-за того, что она из Крыма.;None
